"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYP3A43",3177.44102652629,-1.07116677857201,0.250946377751541,-4.26850862789725,1.96784217598687e-05,0.0116447060764023
"DQ574721",53.1821198527585,-1.61355574994588,0.820858245414184,-1.96569353960954,0.0493340215370466,0.381103726303381
"DQ590432",4.99579895472185,-1.08181934014849,0.501339866017988,-2.15785620389836,0.0309390134940366,NA
"EFCAB12",41.1434273379448,-1.04543498303964,0.34080467930116,-3.06754879417549,0.00215822222257822,0.105127395742706
"EPB42",3.37148055121597,-2.37958292451591,0.808378589195826,-2.94364912223011,0.00324367514984384,NA
"FSTL5",4.83843837291308,-2.42970921891409,1.13773981229879,-2.13555787768813,0.0327154678763665,NA
"GNMT",6464.68071202131,-1.07521177714672,0.27060421089796,-3.97337415252628,7.08616054502361e-05,0.0267014640926307
"IGHG1",5.07538618419707,-1.94884010387627,0.793638124445694,-2.45557772975865,0.0140658329835267,NA
"ITLN1",517.383481975299,-1.67539158983661,0.534378420886119,-3.13521565309174,0.00171727819214995,0.0942171601514324
"KIF25",18.1224692055656,-1.05572652430009,0.416044565460811,-2.53753230289348,0.0111637064900634,0.212770705706189
"LHX9",17.6475070534203,-1.30222925439062,0.542203827862779,-2.401733789899,0.0163175784078509,0.256028368030002
"LINC00277",7.62437077631788,-1.2963897619407,0.484983688108082,-2.67305848367377,0.00751631454042224,0.181807030102564
"LINC00940",18.1009661954934,-1.22120064658189,0.46592168411522,-2.62104273790334,0.00876612717680163,0.19081769889175
"LOC100190940",16.2749882037566,-2.16918073204303,0.607335033479217,-3.57163774929388,0.000354755877291893,0.0514860387305344
"LOC100288974",70.911899694867,-1.07162564777488,0.224777431269133,-4.76749663755961,1.86529107416604e-06,0.00309060078078571
"LOC399753",23.908888968312,-1.12948367990904,0.478216248762868,-2.36186805201827,0.0181831126828431,0.264081005801498
"MIR30C2",4.8738511176877,-1.03433578000024,0.447616666580942,-2.31076243854115,0.0208459802905195,NA
"MSLN",17.1631216991064,-1.3683860543189,0.679988884109811,-2.01236532875134,0.0441814405114376,0.363853017734809
"MT1DP",112.54413992383,-1.39168740249312,0.491766163363609,-2.82997795735717,0.00465512111920304,0.148090745225218
"MT1JP",72.4041158998696,-1.12039068267413,0.441779536945628,-2.53608551093217,0.0112099357694449,0.212770705706189
"MT1M",1922.89745472354,-1.14974006199457,0.365500730537279,-3.14565735697566,0.0016571402330184,0.0926089457754935
"MUC16",14.2099656327674,-2.20536409099992,0.642065405257844,-3.43479663121591,0.000592998671843303,0.0616890035455598
"NOX5",12.2311267941776,-2.00394024065919,0.648264569756382,-3.09123826003983,0.00199323624499734,0.100688815071222
"PPP1R3G",50.477372684419,-1.10867204612649,0.325484339856204,-3.40622239034999,0.000658685004932031,0.0634520456204583
"PTH2R",21.5245999995499,-1.44564279743466,0.549320807230464,-2.63169131481332,0.00849610173798651,0.189719554847303
"RSPO1",8.34055098144093,-1.17552205640522,0.571209518125879,-2.05795250097035,0.039594693227946,0.348195306313346
"SLC25A48",4.50807582022306,-1.43608090821255,0.546783719073683,-2.6264149024873,0.00862895656997141,NA
"SLC5A11",27.2114927529457,-1.19830212680144,0.461055777436072,-2.59903939055963,0.00934850451581704,0.197570626686955
"SPINK1",162.332864571806,-1.97351111068528,0.883056678384159,-2.23486346798992,0.0254263135627833,0.303740871969543
"TPGS1",6.40358546277511,-1.02781630323978,0.4453945406196,-2.3076535734137,0.021018412231301,NA
"UPK3B",25.8804671440576,-1.39613427650798,0.545866452743164,-2.55764806481867,0.0105382684306988,0.207867344795534
"UPP2",1393.81557121442,-1.15256633885306,0.435886673544373,-2.64418806264727,0.00818871452411827,0.187143187517401
"WT1",5.19132330449207,-2.53584340092063,0.780419282302821,-3.24933463129972,0.00115675313627075,NA
