"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CXCL9",662.257071214471,1.04698217737663,0.376870554626106,2.77809493080546,0.00546786409459278,0.158942175760189
"CYP3A7",1921.04156147066,1.02600489152602,0.444799361585759,2.30666898411949,0.0210732805897143,0.278661760647228
"DIAPH3",7.08420981797664,1.1984682956875,0.48160515107768,2.48848728674456,0.0128287823770353,0.227094118808865
"DTNA",136.067292822565,1.35426039243907,0.500938690752881,2.70344538650768,0.00686247241737289,0.173648213225327
"DUSP8",26.507794159797,1.00889732114328,0.48081528503651,2.09830542526673,0.0358781735852519,0.33804914934523
"E2F2",10.6666299044943,1.02500406317707,0.335076924953756,3.05901119069458,0.0022206885454733,0.105127395742706
"E2F8",7.54243495265855,1.28357768121759,0.433083833681677,2.96380880880684,0.00303857011326746,0.121180756738772
"EEF1A2",10.6703258927399,2.78703125239989,0.828135750555054,3.36542801168999,0.000764250068165178,0.0672802086259275
"F13A1",229.355761350053,1.10703157186765,0.336324306512074,3.29155981424111,0.000996334265427812,0.075037556563061
"FABP4",112.42179044551,1.08914795494973,0.320052339221975,3.40303075927323,0.000666427774587777,0.0638268311973693
"FABP5",106.423197607103,1.0922385598573,0.258086619552739,4.23206194009646,2.31558613962734e-05,0.0123764344346727
"FAM153A",24.3704852300378,1.56669611385203,0.370823917799336,4.2249057804837,2.39040767293869e-05,0.0123770827290379
"FAM83F",42.2202289051925,1.04482063329626,0.349459015569717,2.98982308867582,0.00279139066134406,0.115931564559556
"FAP",14.9718456374884,1.88637163843507,0.540455292971963,3.49033798533438,0.000482410017591357,0.057093225581937
"FCAMR",243.307332800951,1.16956975902286,0.404840327423426,2.88896554961925,0.00386511416497152,0.134758844558221
"FCGR1A",26.4377395347837,1.12102293470453,0.302079936065224,3.71101420804885,0.000206430515756856,0.0450553924541506
"FNDC1",79.3515968513083,1.14461560700097,0.321855775421247,3.55629972928989,0.000376114953268446,0.0532636637667084
"FOXN4",41.4370169618281,2.43384519036145,0.539289152367357,4.51306164731373,6.38984389611347e-06,0.00670439342075607
"GPC3",109.583133449088,1.14030468566999,0.463991500151809,2.45759822172799,0.0139869556762767,0.237560726636299
"GPRIN1",9.61339547804264,1.32152502761946,0.411816645061563,3.20901314569716,0.00133191402313053,0.0842308528597319
"HBG2",6.95776484484467,1.41956511045536,0.467245603673067,3.03815616304575,0.00238030568298544,0.10755936352655
"HECW1",5.29214130351632,1.2603603527367,0.595157710333123,2.11769137970379,0.0342012133963958,NA
"HP11113",8.23687515017166,1.12283949033538,0.366602317339479,3.06282703962184,0.00219256747167087,0.105127395742706
"IGFN1",17.1849159131059,1.21285493428142,0.42663279750161,2.84285442043833,0.00447114880563878,0.146245495697399
"IGKV",8.50226162136975,1.62676304458836,0.661454137077082,2.45937390576603,0.0139179579571142,0.237560726636299
"IL8",29.0830803105547,1.34268766333979,0.643777291609458,2.08563998892077,0.0370112461724126,0.340441720106999
"IP6K3",492.405748465103,1.43309166092907,0.414369268096675,3.45848925406969,0.000543213942086332,0.0606809552621729
"IQGAP3",30.8435778125818,1.20131451593135,0.336528004846643,3.5697311921449,0.000357347724908652,0.0514860387305344
"ITGB6",5.50109075440788,1.49141080810875,0.641637749767936,2.32438133300005,0.0201050651411295,NA
"ITGBL1",214.915606595475,1.36079047841808,0.410431028010946,3.31551560566173,0.000914742335430713,0.0723536834066729
"KCNJ5",24.5591418559946,1.03099819777247,0.460305252724191,2.23981410525034,0.0251029937707472,0.301837085477148
"KIF4A",20.0367124180679,1.01392952638603,0.283976575781591,3.57046887967921,0.000356342790654947,0.0514860387305344
