"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",27801.1335563921,-0.040012979790069,0.137402315192517,-0.291210375414752,0.770890427857311,0.938236471530564
"A1CF",15436.3103939733,-0.257729398746209,0.156378542817784,-1.64811229278764,0.0993296302179343,0.488821824022766
"A2M",101110.668421947,0.101721902717714,0.270916568387169,0.375473169925666,0.707308596592044,0.917154181948159
"A4GALT",34.5932835687907,0.231945733928227,0.268385054908742,0.864227458593382,0.387462950931616,0.766176406150394
"A4GNT",5.69505811702966,0.511721102061075,0.436897488864709,1.17126125716767,0.241493779245043,NA
"AAAS",1073.94259718853,0.0273968679410874,0.0973198556110077,0.281513651752568,0.778316458715097,0.941033669326507
"AACS",180.008028122172,0.155779610762178,0.113852553891047,1.36825750005796,0.171231488856903,0.587398455252594
"AADAC",13637.5100142302,-0.0277529436120481,0.103615136624468,-0.267846422020685,0.788817536176816,0.944334510450893
"AADAT",2342.98681246355,-0.203115455608298,0.146347987248233,-1.38789374167324,0.165169403834297,0.579886721890599
"AAED1",89.5897761020545,0.160880707553161,0.128685650370543,1.25018373913419,0.211232435471685,0.626635771773457
"AAGAB",688.137926576599,0.23798124641716,0.0815053008699839,2.91982538407881,0.00350227563773255,0.128696635055516
"AAK1",626.075937975384,0.0791879917343925,0.112905460846431,0.701365471082929,0.483074964688733,0.820074520610022
"AAMDC",446.828101855355,-0.0705702265667413,0.120200626194458,-0.587103651628024,0.557134095251448,0.85520537233927
"AAMP",2724.93014101168,-0.123301557218206,0.0881506975560734,-1.39875872382941,0.16188534780258,0.575466011906171
"AAR2",960.512193724493,0.0651148946133175,0.0756775356821961,0.860425673567968,0.3895544386498,0.76748246064073
"AARS",4037.99428715014,-0.0203139853441522,0.119783801298372,-0.169588751767458,0.865333569196152,0.966944252101225
"AARS2",519.58995139869,-0.0731264666319681,0.0773485251719218,-0.945415138419649,0.344446976552778,0.736576764945417
"AARSD1",59.5947896039316,0.0459590239871252,0.148946205210465,0.308561228009696,0.75765531807191,0.934322310179339
"AASDH",456.980469427934,-0.124785212779406,0.0930032548241338,-1.34172952350292,0.179683710694323,0.59568024959009
"AASDHPPT",940.463378965146,0.0571591836352617,0.0975370798468581,0.586025168325797,0.557858601723859,0.855380039137511
"AASS",7969.86969560861,-0.730746364107837,0.252267504776483,-2.89671222124031,0.00377095494063552,0.132938196619979
"AATF",676.441625214845,0.115506108719317,0.097734022805565,1.18184134248836,0.23726866014493,0.651201661411521
"AATK",23.8179329274534,0.0472770059302201,0.406857563708915,0.116200385951395,0.907493730880903,0.979752630935406
"AB007962",25.0073496294475,-0.313448221211678,0.29033833551261,-1.07959639796882,0.280321946157616,0.691096984067277
"AB073649",24.3821994752274,-0.758447250155651,0.391518744057148,-1.93719269298878,0.05272179313346,0.390184145419014
"AB075489",10.6750112640886,1.15913676618597,0.485027719756042,2.38983612476621,0.0168558919994401,0.259327388235356
"AB075492",16.3736738844085,-0.0918694025524867,0.332918924775759,-0.275951277369907,0.782585488690053,0.94214498615789
"AB209061",86.5015880290355,0.0360898070443577,0.148868058006336,0.242428144275393,0.80844842869894,0.951356954344983
"AB209621",17.7694989997822,-0.0128935915258287,0.332183097819295,-0.0388147127607399,0.969038114587508,0.993899034913078
"AB429224",13.2182357293538,-0.308793452915316,0.313311604144256,-0.985579368369454,0.324339566410497,0.723596180298874
"AB488780",42.7218726322138,0.126181300525427,0.170279702245597,0.741023732490636,0.458679050735224,0.808151126290082
"ABAT",29873.4481275812,-0.178420392271089,0.138204388509316,-1.290989339742,0.196707374055397,0.611162876349535
"ABCA1",8586.98633314158,-0.00476508288276301,0.18580961351377,-0.0256449749431822,0.979540513035764,0.995634285193497
"ABCA10",483.736360314388,-0.118513042160221,0.275421227653883,-0.430297414508494,0.666979307624284,0.902431826557795
"ABCA11P",90.4844064564767,-0.0275780980659503,0.158062786691542,-0.17447559063835,0.861491712383968,0.966170535322267
"ABCA13",14.1270109773306,-0.922203982317577,0.513670480471125,-1.79532213233619,0.0726023907672046,0.437697418310912
"ABCA2",1758.50799756821,-0.034296988726995,0.126143208947903,-0.271889299575054,0.785707139119708,0.943543409829224
"ABCA3",106.12136156552,-0.0440341687054126,0.149418647565022,-0.294703301247928,0.768220541094238,0.937442381649871
"ABCA4",64.1631479329688,0.166022595858359,0.198274337558294,0.83733779117808,0.402402722525256,0.773914327367309
"ABCA5",2806.3157639844,0.0152007687821603,0.172739982754871,0.0879979755684655,0.929878285164209,0.985409997607155
"ABCA6",7682.72355180021,-0.153434836322134,0.153307173924937,-1.00083272291784,0.31690768651653,0.718014967577245
"ABCA7",202.664891333602,0.167109468684456,0.151923441206369,1.09995842219937,0.271350237935799,0.682660505976048
"ABCA8",4383.72588701044,-0.359481989210655,0.150680960012952,-2.38571607972073,0.0170459052844936,0.259327388235356
"ABCA9",1652.62689061752,-0.297952524584078,0.189438058467048,-1.57282294273463,0.115759821679401,0.515853079281476
"ABCB1",2127.66222655753,0.144731212333402,0.123675246891569,1.17025205909064,0.24189954839354,0.654277312558667
"ABCB10",898.120194166056,-0.00600311251192655,0.0897386008742677,-0.0668955438734495,0.946664860567675,0.989462416628807
"ABCB11",4735.12722533295,-0.336773909120393,0.189324145360329,-1.77882175820433,0.0752689888091548,0.442186135953929
"ABCB4",6680.71721899704,0.144387115238462,0.174674458753064,0.826606913621991,0.408459897474699,0.777250933041222
"ABCB6",906.629951019068,-0.17774775155263,0.13726172106954,-1.29495499668534,0.195335754634775,0.611162876349535
"ABCB7",943.987394628625,0.043326442127222,0.0737328278813856,0.587614002773927,0.55679140997846,0.855089755815955
"ABCB8",588.732567842622,-0.0237247135021445,0.143200086068942,-0.165675274040845,0.868412505569752,0.967894982159641
"ABCB9",28.5542262904603,-0.135840631732382,0.261959695693833,-0.518555464696932,0.604070772453784,0.875281908945059
"ABCC1",339.138222162967,0.130126050079731,0.150548888237505,0.86434414496934,0.387398866371573,0.766176406150394
"ABCC10",266.40622133152,-0.0623964558874366,0.131171534721892,-0.475685948325061,0.634298133174946,0.887319739902188
"ABCC11",274.113220670195,-0.158585915697009,0.197724317846735,-0.802055697670614,0.422520740331938,0.787131340966931
"ABCC13",6.24881710553983,-1.56560000916935,1.15769991202103,-1.35233664001601,0.176267648272997,NA
"ABCC2",11615.2427577153,-0.219234590565848,0.125525268274511,-1.74653751853695,0.0807175935535486,0.454592048806508
"ABCC3",8977.02565833572,-0.0280155823189052,0.121465684128635,-0.230646066993177,0.817589776059055,0.953291780532637
"ABCC4",163.43642136084,0.497026557068804,0.187624380337913,2.64905102510482,0.00807181437438873,0.18587680650075
"ABCC5",951.751153543301,0.0854258508578534,0.133142375410371,0.641612789275795,0.521124626917037,0.838897481124055
"ABCC6",7038.56794592313,-0.115825529400465,0.087480463843125,-1.32401594952869,0.18549774772015,0.602267003159595
"ABCC6P1",2101.10490472314,-0.108838594543513,0.136517771581644,-0.797248543413433,0.42530669839292,0.788183077329396
"ABCC6P2",100.32667571682,-0.0622416629719583,0.14229416168992,-0.437415437378183,0.661810090582323,0.900585692416107
"ABCC9",5603.00096471045,-0.214549668408662,0.143909460031644,-1.49086563427786,0.135996775523351,0.545336537668539
"ABCD1",227.52468989062,0.0934853195065123,0.129816706262045,0.720133195474898,0.471442990701299,0.814444678649757
