"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB",688.137926576599,0.23798124641716,0.0815053008699839,2.91982538407881,0.00350227563773255,0.128696635055516
"AASS",7969.86969560861,-0.730746364107837,0.252267504776483,-2.89671222124031,0.00377095494063552,0.132938196619979
"AB075489",10.6750112640886,1.15913676618597,0.485027719756042,2.38983612476621,0.0168558919994401,0.259327388235356
"ABCA8",4383.72588701044,-0.359481989210655,0.150680960012952,-2.38571607972073,0.0170459052844936,0.259327388235356
"ABCC4",163.43642136084,0.497026557068804,0.187624380337913,2.64905102510482,0.00807181437438873,0.18587680650075
"ABCD4",1776.390279336,-0.163606719632474,0.0665413579258794,-2.45872228539003,0.0139432429768587,0.237560726636299
"ABCF2",586.13283009863,0.214136410178883,0.0746482841560769,2.86860458481752,0.00412286868181943,0.139411859569523
"ACAA1",26709.0616269833,-0.237904266527131,0.113973210909,-2.08737004625658,0.0368546974478784,0.340192469088522
"ACADSB",29989.9158971116,-0.425911752572606,0.171305533806383,-2.48626966747023,0.0129090104400468,0.228027072474557
"ACER3",239.448648124512,0.282810143792493,0.133490223404106,2.11858319344002,0.034125707309405,0.332752652197132
"ACLY",1333.96751997741,0.446956874306008,0.117218478902874,3.81302400858102,0.00013727677153318,0.0366861101215042
"ACOT11",28.3402084111892,-0.550240737209986,0.20542719905517,-2.67851939636392,0.00739484490835385,0.180715612516984
"ACOT9",458.071063446942,0.179712367563996,0.0816510676772198,2.20098000768868,0.02773743919152,0.311584973162545
"ACOX2",11584.3454445908,-0.329310577865809,0.0826048364737194,-3.98657744417397,6.70332542873806e-05,0.0267014640926307
"ACR",18.6588204217078,0.52028518464503,0.230468843733551,2.25750767963474,0.0239763701658566,0.298659103706435
"ACSL3",1872.84303235102,0.372703166998606,0.157389397634352,2.36803223470283,0.0178829777462827,0.263380496247252
"ACSL5",9285.86328592399,-0.288707392079104,0.138141324017013,-2.08994226842323,0.0366229860174504,0.340138035495032
"ACSM2A",27012.5942785722,-0.294679517611323,0.10294185095539,-2.86258227218999,0.00420204152243914,0.141221439641762
