"Entrez_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1",0.0647240722103684,4.77783642578809,1.56944715196316,0.118264191084815,0.719257041136515,-4.55694291987485,"A1BG"
"100",-0.0721116384058647,9.145348887777,-1.44803816771357,0.149310497337249,0.736266119626693,-4.71570509555615,"ADA"
"1000",0.0688775226060185,4.7183907881901,1.04639261440692,0.296754308619207,0.84158117542371,-5.15168840473494,"CDH2"
"10000",0.0409954131783969,5.13277250873772,1.32387720772617,0.187188408097731,0.769161657295896,-4.86517432015499,"AKT3"
"100008588",-0.176640212475208,9.26476921100397,-1.0517665812116,0.294287843067628,0.839375751360661,-5.14676690995594,"LOC100008588"
"100008589",-0.0820699368883009,4.86485096916553,-1.7374086503319,0.0839906156678396,0.679422516625014,-4.31691337072652,"LOC100008589"
"100009676",0.0769379591890988,6.00831228525296,2.37010195443839,0.0188192687293953,0.517123193553737,-3.2044295167188,"LOC100009676"
"10001",0.0640346701200549,10.0996680370556,3.13693121621304,0.00198867651443293,0.384137014350325,-1.43296019083543,"MED6"
"10003",-0.0387230312517248,4.6476201496079,-0.793339129095407,0.428603489476638,0.901263829129037,-5.35518731964585,"NAALAD2"
"100037417",-0.042243165175389,4.92395784960108,-0.367525183555335,0.713650272915041,0.970131772744076,-5.57189280326841,"DDTL"
"10004",-0.0103382105400014,7.27541132419774,-0.217478455295527,0.828076797142309,0.986936363045529,-5.61044303274389,"NAALADL1"
"100049587",0.046285412573102,9.70849536940685,0.323655275812617,0.746567104919983,0.975765354127051,-5.58520726538329,"SIGLEC14"
"100049716",-0.0429930255316302,5.30856359675641,-0.854105471693161,0.394158668563339,0.888179199762349,-5.3113793281017,"LOC100049716"
"10005",0.0341241971319368,5.78645831559799,0.623208967502707,0.533919970819444,0.929954068488772,-5.46075832598021,"ACOT8"
"10006",0.021021159019778,9.47043786485719,0.877998077903863,0.381091339894491,0.881117891188729,-5.29327721863212,"ABI1"
"10007",-0.0196323074023148,9.6108401437936,-0.654872606882248,0.513368704364925,0.924473141703284,-5.44301979826197,"GNPDA1"
"10008",0.0657219468443877,4.70766586878351,1.41989768487568,0.157331843262877,0.740787766219531,-4.75072705514138,"KCNE3"
"10009",0.0431966694921968,10.3526617174025,1.90623155266797,0.0581809238222878,0.630606571163121,-4.05201945067425,"ZBTB33"
"100093630",0.0801460135510119,8.83621593524188,0.447577899935626,0.654985047987918,0.957413546625202,-5.54324924337948,"SNHG8"
"10010",0.0606514039069195,7.84208790811272,1.20338608986162,0.230375043047102,0.799270510118052,-4.99768410215958,"TANK"
"100101122",-0.0189516549215449,4.78608894599861,-0.498577279055113,0.618673502866119,0.948384612798257,-5.52207466543181,"FLJ44451"
"100101267",-0.0611221283684902,10.8590279115381,-2.72145658643536,0.00712456951602459,0.465124335070549,-2.44859508995231,"POM121C"
"10011",-0.0546935539758664,6.31090460395448,-2.22182828744789,0.0275155666702472,0.551365999860524,-3.4942175353804,"SRA1"
"100113377",-0.0450344370748423,6.03882087695108,-0.890138690996369,0.374555367174691,0.878276749752518,-5.28388939395617,"C19orf64"
"100113380",-0.0173182147395945,4.6818505743888,-0.452074864630022,0.651748253193726,0.956661520383775,-5.54147366169911,"SNORD125"
"100113392",0.0233315004132253,4.76862639063178,0.520626957088823,0.603253439300206,0.944734298894326,-5.5122151180125,"SNORD11B"
"100113393",0.00906486842807208,5.05581205122611,0.207355578281289,0.835961790991306,0.987472624789745,-5.61233227475957,"SNORD12B"
"100113407",-0.00517926853215833,10.0906253051531,-0.0824747345269457,0.934358980967049,0.994667381500917,-5.62823449765257,"TMEM170B"
"100124533",-0.0266806271175577,4.78775517643784,-0.302957426485802,0.762265011991278,0.976545635974787,-5.59090296974214,"SCARNA27"
"100124534",-0.0276895726401509,4.7552236164317,-0.643868064684351,0.520463828798174,0.926485261632143,-5.44928388593559,"SNORA84"
"100124537",0.0118794066201007,5.19351842045045,0.25801215140131,0.796686274001351,0.981720052955907,-5.60197678203136,"SNORA70B"
"100124538",-0.00686575081846552,5.06030389976664,-0.150230438758908,0.880747590126778,0.99093000198271,-5.62130666667149,"SNORA70C"
"100124540",0.0447598501575772,4.84980701941838,1.05438629328398,0.293090523280154,0.839177280244596,-5.14435875271006,"SNORA11C"
"100124541",-0.0138547099857789,6.04344679573221,-0.34655230465883,0.729324209040577,0.972169648410468,-5.57846860087689,"SNORA11D"
"100124542",-0.0409273984153469,5.11760048541568,-0.935463415189791,0.350777289947012,0.867792750364993,-5.24771413142015,"SNORA11E"
