"Entrez_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1",-0.00797121094917674,4.77783642578809,-0.18106785329286,0.856513880013304,0.998939360195857,-5.53682112712737,"A1BG"
"100",0.0386392425595243,9.145348887777,0.726841035447888,0.468248294029422,0.998939360195857,-5.32492049508429,"ADA"
"1000",0.0354095482779702,4.7183907881901,0.503934070919856,0.614911368524883,0.998939360195857,-5.44216173475187,"CDH2"
"10000",0.0554997709674554,5.13277250873772,1.67895793785575,0.0948599163840536,0.998939360195857,-4.3538024659096,"AKT3"
"100008588",0.135209816476005,9.26476921100397,0.754178591396203,0.451707384554891,0.998939360195857,-5.307635376391,"LOC100008588"
"100008589",-0.026436641591089,4.86485096916553,-0.524276451169622,0.600718125422364,0.998939360195857,-5.43321622669031,"LOC100008589"
"100009676",-0.0208176799449742,6.00831228525296,-0.600751524033618,0.54874578339119,0.998939360195857,-5.39643217589944,"LOC100009676"
"10001",-0.00696242976717976,10.0996680370556,-0.319511750437551,0.74970144820864,0.998939360195857,-5.50714534872638,"MED6"
"10003",-0.0546055442929623,4.6476201496079,-1.04800283283423,0.296013815567847,0.998939360195857,-5.08196855523645,"NAALAD2"
"100037417",0.0021405429387249,4.92395784960108,0.0174457957536504,0.986099903288218,0.998939360195857,-5.55073427530581,"DDTL"
"10004",-0.0249586896793756,7.27541132419774,-0.491845651788773,0.623415513767881,0.998939360195857,-5.44731044714469,"NAALADL1"
"100049587",0.0458733345212927,9.70849536940685,0.300493477245172,0.764140479208799,0.998939360195857,-5.51219363063055,"SIGLEC14"
"100049716",0.070727718984549,5.30856359675641,1.31625288255178,0.189728738036774,0.998939360195857,-4.81266261077701,"LOC100049716"
"10005",-0.0495787619423336,5.78645831559799,-0.848209470271285,0.39742488528346,0.998939360195857,-5.24334713759397,"ACOT8"
"10006",0.0173305947157161,9.47043786485719,0.678088784987073,0.498568401912776,0.998939360195857,-5.35417202791925,"ABI1"
"10007",0.00575290326364275,9.6108401437936,0.17976648964175,0.857533977724091,0.998939360195857,-5.53702224761179,"GNPDA1"
"10008",0.0131630260363549,4.70766586878351,0.266402661511734,0.790227821703569,0.998939360195857,-5.52046848292506,"KCNE3"
"10009",0.021306530496835,10.3526617174025,0.880793932218637,0.379579951664798,0.998939360195857,-5.21932454681958,"ZBTB33"
"100093630",0.0325674861713381,8.83621593524188,0.170375496289226,0.864902289146003,0.998939360195857,-5.53843059758271,"SNHG8"
"10010",-0.00997468944019975,7.84208790811272,-0.18539571824019,0.853123151056938,0.998939360195857,-5.53614184296235,"TANK"
"100101122",0.00489332467817594,4.78608894599861,0.12059396196835,0.904144413585132,0.998939360195857,-5.54463492423413,"FLJ44451"
"100101267",-0.0379131306348803,10.8590279115381,-1.58135281904581,0.115517144210755,0.998939360195857,-4.48789355079098,"POM121C"
"10011",-0.0296983931154706,6.31090460395448,-1.13016924954996,0.25987798797342,0.998939360195857,-5.00586386585231,"SRA1"
"100113377",-0.00889975775389651,6.03882087695108,-0.164788656671551,0.869291473388358,0.998939360195857,-5.53923261838339,"C19orf64"
"100113380",-0.030858451694491,4.6818505743888,-0.754601319121027,0.451454250842834,0.998939360195857,-5.30736311700866,"SNORD125"
"100113392",0.00689699358070861,4.76862639063178,0.144171690998737,0.88552289275404,0.998939360195857,-5.54196097124188,"SNORD11B"
"100113393",0.086773833054524,5.05581205122611,1.85942723616903,0.0645653116013016,0.998939360195857,-4.08551697028278,"SNORD12B"
"100113407",-0.0382585301756482,10.0906253051531,-0.570711950453402,0.568892182459542,0.998939360195857,-5.41147502080999,"TMEM170B"
"100124533",0.17148182018499,4.78775517643784,1.82406303388686,0.0697669654346825,0.998939360195857,-4.14015976275226,"SCARNA27"
"100124534",-0.0366154989349239,4.7552236164317,-0.797593812527052,0.426135733082313,0.998939360195857,-5.27888284996607,"SNORA84"
"100124537",-0.00156496816310092,5.19351842045045,-0.0318410299106568,0.974633385134901,0.998939360195857,-5.55043033670143,"SNORA70B"
"100124538",0.0441919864175864,5.06030389976664,0.905836068693051,0.36620887037892,0.998939360195857,-5.20025313527078,"SNORA70C"
"100124540",0.00477711502702682,4.84980701941838,0.105417573174884,0.916159460339912,0.998939360195857,-5.54610419663142,"SNORA11C"
"100124541",0.059096862543532,6.04344679573221,1.38475188363226,0.167807430333154,0.998939360195857,-4.73429832307045,"SNORA11D"
"100124542",0.035415303864629,5.11760048541568,0.758297856598034,0.449244176008834,0.998939360195857,-5.30497589449373,"SNORA11E"
"100125556",0.0346702474169138,5.24799705525115,0.839898437880356,0.40205680562716,0.998939360195857,-5.24933075386538,"LOC100125556"
"100126297",-0.00409712435902865,5.46745933897737,-0.0738242632993835,0.941230523080845,0.998939360195857,-5.54852996940085,"MIR300"
"100126314",0.0614456950217521,5.1181062693376,1.12241216060808,0.263151717826036,0.998939360195857,-5.01329040258591,"MIR877"
"100126328",0.0756380664149479,4.67147743715534,1.70868327627618,0.0891981309058643,0.998939360195857,-4.3114253246972,"MIR940"
"100126351",-0.0076311966410243,4.75699039939112,-0.156619611439482,0.875716592415499,0.998939360195857,-5.54035721380479,"MIR939"
"100126791",-0.104152506757497,5.0385721835166,-1.69108424793638,0.0925161052365694,0.998939360195857,-4.33660155315469,"EGOT"
"100127887",0.0136102419141446,4.96328616951622,0.310633953808312,0.756430985860446,0.998939360195857,-5.50954040066139,"LOC100127887"
"100127891",0.00277824588484599,4.64677943197065,0.0682156097119386,0.945688173797016,0.998939360195857,-5.54887123558682,"LOC100127891"
